Date,Stock,Close,Volume
2019-06-13,INTC,45.90683746,12267600
2019-06-14,INTC,45.4054985,15381100
2019-06-17,INTC,45.34652328,12643300
2019-06-18,INTC,46.56545639,25732300
2019-06-19,INTC,46.27055359,17436400
2019-06-20,INTC,46.38851166,20126800
2019-06-21,INTC,46.65392685,31096300
2019-06-24,INTC,46.82104492,14479900
2019-06-25,INTC,46.05429077,16665600
2019-06-26,INTC,47.37152863,21886300
2019-06-27,INTC,46.65392685,23062900
2019-06-28,INTC,47.05696487,26646200
2019-07-01,INTC,47.23390961,27505400
2019-07-02,INTC,47.3027153,15381600
2019-07-03,INTC,47.69592667,10739100
2019-07-05,INTC,47.26339722,14339200
2019-07-08,INTC,47.0078125,16564300
2019-07-09,INTC,46.93900299,17853200
2019-07-10,INTC,47.39118958,16032300
2019-07-11,INTC,47.77456665,16615100
2019-07-12,INTC,49.07214737,20148700
2019-07-15,INTC,49.26874924,14345100
2019-07-16,INTC,48.33488083,17131400
2019-07-17,INTC,48.55115128,11928600
2019-07-18,INTC,49.0918045,15679600
2019-07-19,INTC,49.41620255,29141100
2019-07-22,INTC,50.47786331,21688000
2019-07-23,INTC,50.87106705,18413500
2019-07-24,INTC,52.02119446,20896400
2019-07-25,INTC,51.27410507,27765400
2019-07-26,INTC,50.71378326,36401500
2019-07-29,INTC,51.61815643,21897500
2019-07-30,INTC,50.82191467,16487700
2019-07-31,INTC,49.6914444,24169800
2019-08-01,INTC,48.65927887,34020800
2019-08-02,INTC,47.85321045,27881600
2019-08-05,INTC,46.17224884,38936600
2019-08-06,INTC,46.47409439,26119600
2019-08-07,INTC,46.24647522,29440400
2019-08-08,INTC,46.68192291,30643700
2019-08-09,INTC,45.50423431,24975500
2019-08-12,INTC,45.1281662,18490300
2019-08-13,INTC,46.35533524,28959500
2019-08-14,INTC,45.3953743,25650200
2019-08-15,INTC,45.2271347,21896000
2019-08-16,INTC,46.01885605,22701800
2019-08-19,INTC,46.74129868,21403600
2019-08-20,INTC,46.11782074,23113300
2019-08-21,INTC,46.66213226,15915000
2019-08-22,INTC,46.29595947,19783000
2019-08-23,INTC,44.49479294,32814000
2019-08-26,INTC,45.0885849,22080500
2019-08-27,INTC,45.31620026,16925500
2019-08-28,INTC,45.31620026,14888800
2019-08-29,INTC,46.38502502,17803800
2019-08-30,INTC,46.91943741,16922600
2019-09-03,INTC,46.49388885,15003800
2019-09-04,INTC,48.41381073,23450700
2019-09-05,INTC,49.58160782,30014200
2019-09-06,INTC,50.39311981,17067900
2019-09-09,INTC,51.05618668,20749700
2019-09-10,INTC,51.28380966,18532000
2019-09-11,INTC,52.24377441,18968900
2019-09-12,INTC,52.46149445,23308700
2019-09-13,INTC,51.99636078,18010800
2019-09-16,INTC,51.65987778,13354600
2019-09-17,INTC,51.41246414,19641100
2019-09-18,INTC,51.20463943,14906800
2019-09-19,INTC,51.03639603,11428400
2019-09-20,INTC,50.19519043,37067900
2019-09-23,INTC,50.37332916,18916600
2019-09-24,INTC,49.30450058,28197400
2019-09-25,INTC,50.49208832,19486700
2019-09-26,INTC,50.39311981,11351800
2019-09-27,INTC,50.25457001,14845700
2019-09-30,INTC,50.9968071,13652100
2019-10-01,INTC,50.23477554,18413100
2019-10-02,INTC,48.87895203,20078700
2019-10-03,INTC,49.5123291,16320100
2019-10-04,INTC,50.39311981,12644900
2019-10-07,INTC,50.09622192,12081400
2019-10-08,INTC,49.21543503,17409100
2019-10-09,INTC,49.95767212,11834900
2019-10-10,INTC,50.58115768,13907900
2019-10-11,INTC,51.55101395,24072500
2019-10-14,INTC,51.10567093,15016800
2019-10-15,INTC,52.10522461,18878100
2019-10-16,INTC,51.90729141,14769300
2019-10-17,INTC,51.32339859,16533900
2019-10-18,INTC,50.82857132,16974100
2019-10-21,INTC,51.59060287,12189000
2019-10-22,INTC,51.4718399,13114300
2019-10-23,INTC,51.18484497,15887500
2019-10-24,INTC,51.68956375,23413000
2019-10-25,INTC,55.87579727,59767700
2019-10-28,INTC,56.17269135,32307500
2019-10-29,INTC,55.75703812,18155800
2019-10-30,INTC,56.01434708,15248000
2019-10-31,INTC,55.94507217,19249700
2019-11-01,INTC,55.92527771,17953500
2019-11-04,INTC,57.01390076,19068000
2019-11-05,INTC,56.95451736,20865400
2019-11-06,INTC,57.31772995,17721000
2019-11-07,INTC,57.76552582,16962800
2019-11-08,INTC,57.98444748,11888900
2019-11-11,INTC,58.06405258,11228900
2019-11-12,INTC,57.91479111,11952500
2019-11-13,INTC,57.60630798,15332700
2019-11-14,INTC,57.52670288,12119000
2019-11-15,INTC,57.67596436,16112100
2019-11-18,INTC,57.9645462,16097500
2019-11-19,INTC,58.06405258,17061900
2019-11-20,INTC,57.61626053,18542300
2019-11-21,INTC,57.93469238,16139000
2019-11-22,INTC,57.3276825,15690200
2019-11-25,INTC,58.52180099,15011700
2019-11-26,INTC,58.61136246,22338700
2019-11-27,INTC,58.22327042,18184200
2019-11-29,INTC,57.76552582,9481100
2019-12-02,INTC,57.37743759,19154500
2019-12-03,INTC,55.79522705,25737400
2019-12-04,INTC,55.74547195,18881400
2019-12-05,INTC,55.8051796,17673700
2019-12-06,INTC,56.53160477,16476800
2019-12-09,INTC,56.25297165,14298600
2019-12-10,INTC,56.31267929,16157900
2019-12-11,INTC,56.79032898,20051100
2019-12-12,INTC,57.26797485,27883300
2019-12-13,INTC,57.50680161,22795200
2019-12-16,INTC,57.41724014,19131200
2019-12-17,INTC,57.01919937,21653100
2019-12-18,INTC,56.88983536,28261000
2019-12-19,INTC,57.67596436,18865100
2019-12-20,INTC,58.66111374,49953000
